Variable_Name,Max_Null_Window
CEA_Razon_Agua_tms_Colon,1
CEA_Razon_Agua_tms_ESC,0
CEA_Razon_Agua_tms_gpta,1
CEA_Razon_Agua_tms_MFRES,3352
CEA_Razon_Agua_tms_MUNIT,0
CEA_Razon_Agua_tms_SAG1,0
CEA_Razon_Agua_tms_SAG2,7
FLO:310_FI43001,2
FLO:310_FIC43099_COM,1
FLO:310_FIC43099_COM.op,11
FLO:310_FIC43099_COM.sp,3352
FLO:310_FIC43102_COM,1
FLO:310_FIC43102_COM.op,1
FLO:310_FIC43102_COM.sp,6
FLO:310_FIC43104_COM,1
FLO:310_FIC43104_COM.op,114
FLO:310_FIC43104_COM.sp,3352
FLO:310_FIC43106_COM,2
FLO:310_FIC43106_COM.op,2
FLO:310_FIC43106_COM.sp,2
FLO:310_FIC43108_COM,1
FLO:310_FIC43108_COM.op,1
FLO:310_FIC43108_COM.sp,3352
FLO:310_FIC43111_COM,27
FLO:310_FIC43111_COM.op,1
FLO:310_FIC43111_COM.sp,1
FLO:310_FIC43113_COM,1
FLO:310_FIC43113_COM.op,1
FLO:310_FIC43113_COM.sp,3352
FLO:310_FIC43115_COM,55
FLO:310_FIC43115_COM.op,1
FLO:310_FIC43115_COM.sp,1
FLO:310_FIC_3833_COM,10
FLO:310_FIC_3834_COM,2
FLO:310_FIC_3843_COM,2
FLO:310_FIC_3844_COM,64
FLO:310_FIC_3853_COM,2
FLO:310_FIC_3854_COM,2
FLO:310_FIC_3863_COM,2
FLO:310_FIC_3864_COM,2
FLO:310_FIC_3864_COM.sp,2
FLO:310_FIC_9638,2
FLO:310_FIC_9694,2
FLO:310_FIC_9707,3352
FLO:310_FIT_9638,2
FLO:310_FIT_9694,2
FLO:310_FIT_9707,3352
FLO:310_LIC509,2
FLO:310_LIT_9640,2
FLO:310_LIT_9660,3352
FLO:310_LIT_9661,3352
FLO:310_LIT_9670,3352
FLO:310_LIT_9671,3352
FLO:310_LIT_9680,3352
FLO:310_LIT_9681,3352
FLO:310_LY_9661,3352
FLO:310_LY_9671,3352
FLO:310_LY_9681,3352
FLO:ALIM_AGUAS_MOL_1,1
FLO:ALIM_AGUAS_MOL_10,0
FLO:ALIM_AGUAS_MOL_11,0
FLO:ALIM_AGUAS_MOL_12,0
FLO:ALIM_AGUAS_MOL_2,0
FLO:ALIM_AGUAS_MOL_3,0
FLO:ALIM_AGUAS_MOL_4,0
FLO:ALIM_AGUAS_MOL_5,0
FLO:ALIM_AGUAS_MOL_6,0
FLO:ALIM_AGUAS_MOL_7,0
FLO:ALIM_AGUAS_MOL_8,0
FLO:ALIM_AGUAS_MOL_9,0
FLO:ALIM_AGUAS_MOL_U,0
FLO:ARA01CU,0
FLO:ARA02CU,0
FLO:ARA03CU,0
FLO:ARA04CU,0
FLO:ARA05CU,0
FLO:ARA06CU,0
FLO:ARA06CUH,3352
FLO:ARA07CU,0
FLO:ARA08CU,0
FLO:ARA09CU,0
FLO:ARA10CU,0
FLO:ARA11CU,0
FLO:ARA12CU,0
FLO:ARA13CU,0
FLO:ARA14CU,0
FLO:ARA15CU,0
FLO:ARA16CU,0
FLO:ARA17CU,0
FLO:ARA18CU,0
FLO:ARA19CU,0
FLO:ARA20CU,0
FLO:ARA21CU,0
FLO:ARB09CU,0
FLO:CAL43061,1
FLO:CONSMOLI,3352
FLO:CONSPTR,3352
FLO:CONSRETR,3352
FLO:CT_XAN_B101,3352
FLO:CT_XAN_B102,3352
FLO:CT_XAN_B103,3352
FLO:CT_XAN_B121,3352
FLO:CT_XAN_B122,3352
FLO:CT_XAN_B123,3352
FLO:CT_XAN_B124,3352
FLO:CT_XAN_B125,3352
FLO:DI43002,3352
FLO:DI44NX,3352
FLO:DIT43762,1
FLO:DIT43763,1
FLO:FI40101,1
FLO:FI43008,3352
FLO:FI43060,1
FLO:FI43078,1
FLO:FIC729,3352
flo:fit43736,3352
FLO:FIT43762,1
FLO:FIT43763,1
FLO:FITOUMOL,3352
FLO:FMI748X,3352
FLO:FQI40101X,3352
FLO:FQI71X,3352
FLO:FQIPETRA,3352
FLO:PROF_101CV1_High,0
FLO:PROF_101CV3_High,0
FLO:PROF_101CV5_High,0
FLO:PROF_101CV7_High,0
FLO:PROF_101MV0_High,0
FLO:PROF_101MV1_High,0
FLO:PROF_101MV2_High,0
FLO:PROF_101MV3_High,0
FLO:PROF_102CV1_High,0
FLO:PROF_102CV3_High,0
FLO:PROF_102CV5_High,0
FLO:PROF_102CV7_High,0
FLO:PROF_102MV0_High,0
FLO:PROF_102MV1_High,0
FLO:PROF_102MV2_High,0
FLO:PROF_102MV3_High,0
FLO:PROF_103CV1_High,0
FLO:PROF_103CV3_High,0
FLO:PROF_103CV5_High,0
FLO:PROF_103CV7_High,0
FLO:PROF_103MV0_High,0
FLO:PROF_103MV1_High,0
FLO:PROF_103MV2_High,1
FLO:PROF_103MV3_High,1
FLO:PROF_104CV1_High,0
FLO:PROF_104CV2_High,0
FLO:PROF_104CV3_High,0
FLO:PROF_104MV1_High,0
FLO:PROF_104MV2_High,0
FLO:PROF_104MV3_High,0
FLO:PROF_105CV1_High,0
FLO:PROF_105CV2_High,0
FLO:PROF_105CV3_High,0
FLO:PROF_105MV1_High,0
FLO:PROF_105MV2_High,0
FLO:PROF_105MV3_High,0
FLO:PROF_106CV0_High,1
FLO:PROF_106CV1_High,1
FLO:PROF_106CV2_High,1
FLO:PROF_106MV0_High,1
FLO:PROF_106MV1_High,1
FLO:PROF_106MV2_High,1
FLO:PROF_107CV0_High,1
FLO:PROF_107CV1_High,1
FLO:PROF_107CV2_High,1
FLO:PROF_107MV0_High,1
FLO:PROF_107MV1_High,1
FLO:PROF_107MV2_High,1
FLO:PROF_108CV1_High,0
FLO:PROF_108CV2_High,0
FLO:PROF_108CV3_High,0
FLO:PROF_108MV1_High,0
FLO:PROF_108MV2_High,0
FLO:PROF_108MV3_High,0
FLO:PROF_121CV0_High,1
FLO:PROF_121CV1_High,1
FLO:PROF_121CV2_High,1
FLO:PROF_121MV0_High,1
FLO:PROF_121MV1_High,1
FLO:PROF_121MV2_High,1
FLO:PROF_122CV0_High,1
FLO:PROF_122CV1_High,1
FLO:PROF_122CV2_High,1
FLO:PROF_122MV0_High,1
FLO:PROF_122MV1_High,1
FLO:PROF_122MV2_High,1
FLO:PROF_123CV0_High,1
FLO:PROF_123CV1_High,1
FLO:PROF_123CV2_High,1
FLO:PROF_123CV3_High,1
FLO:PROF_123MV0_High,1
FLO:PROF_123MV1_High,1
FLO:PROF_124CV0_High,1
FLO:PROF_124CV1_High,1
FLO:PROF_124CV2_High,1
FLO:PROF_124CV3_High,1
FLO:PROF_124MV0_High,1
FLO:PROF_124MV1_High,1
FLO:PROF_125CV0_High,1
FLO:PROF_125CV1_High,1
FLO:PROF_125CV2_High,1
FLO:PROF_125MV0_High,1
FLO:PROF_125MV1_High,1
FLO:PROF_125MV2_High,1
flo:usmhley2,3352
flo:usmhley4,3352
FLO:XAN_B101,3352
FLO:XAN_B102,3352
FLO:XAN_B103,3352
FLO:XAN_B121,3352
FLO:XAN_B122,3352
FLO:XAN_B123,3352
FLO:XAN_B124,3352
FLO:XAN_B125,3352
FLO:XAN_CTL_SP101,3352
FLO:XAN_CTL_SP102,3352
FLO:XAN_CTL_SP103,3352
FLO:XAN_CTL_SP121,3352
FLO:XAN_CTL_SP122,3352
FLO:XAN_CTL_SP123,3352
FLO:XAN_CTL_SP124,3352
FLO:XAN_CTL_SP125,3352
FSAG:320_COU_S0CU,1
FSAG:320_COU_S0FE,1
FSAG:320_COU_S0MO,1
FSAG:320_COU_S0SOL,1
FSAG:320_COU_S10CU,1
FSAG:320_COU_S10FE,1
FSAG:320_COU_S10MO,1
FSAG:320_COU_S10SOL,1
FSAG:320_COU_S11CU,1
FSAG:320_COU_S11FE,1
FSAG:320_COU_S11MO,1
FSAG:320_COU_S11SOL,1
FSAG:320_COU_S13CU,1
FSAG:320_COU_S13FE,1
FSAG:320_COU_S13MO,1
FSAG:320_COU_S13SOL,1
FSAG:320_COU_S14CU,1
FSAG:320_COU_S14FE,1
FSAG:320_COU_S14MO,1
FSAG:320_COU_S14SOL,1
FSAG:320_COU_S15CU,1
FSAG:320_COU_S15FE,1
FSAG:320_COU_S15MO,1
