index,count,mean,std,min,25%,50%,75%,max
CEA_Razon_Agua_tms_Colon,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
CEA_Razon_Agua_tms_ESC,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
CEA_Razon_Agua_tms_gpta,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
CEA_Razon_Agua_tms_MFRES,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
CEA_Razon_Agua_tms_MUNIT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
CEA_Razon_Agua_tms_SAG1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
CEA_Razon_Agua_tms_SAG2,1.0,0.78,,0.78,0.78,0.78,0.78,0.78
FLO:310_FI43001,1.0,0.06,,0.06,0.06,0.06,0.06,0.06
FLO:310_FIC43099_COM,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43099_COM.op,1.0,0.36,,0.36,0.36,0.36,0.36,0.36
FLO:310_FIC43099_COM.sp,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_FIC43102_COM,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43102_COM.op,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43102_COM.sp,1.0,0.21,,0.21,0.21,0.21,0.21,0.21
FLO:310_FIC43104_COM,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43104_COM.op,1.0,3.43,,3.43,3.43,3.43,3.43,3.43
FLO:310_FIC43104_COM.sp,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_FIC43106_COM,1.0,0.09,,0.09,0.09,0.09,0.09,0.09
FLO:310_FIC43106_COM.op,1.0,0.09,,0.09,0.09,0.09,0.09,0.09
FLO:310_FIC43106_COM.sp,1.0,0.09,,0.09,0.09,0.09,0.09,0.09
FLO:310_FIC43108_COM,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43108_COM.op,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
FLO:310_FIC43108_COM.sp,1.0,100.0,,100.0,100.0,100.0,100.0,100.0
FLO:310_FIC43111_COM,1.0,2.83,,2.83,2.83,2.83,2.83,2.83
FLO:310_FIC43111_COM.op,1.0,0.03,,0.03,0.03,0.03,0.03,0.03
